burst_id,split,cat_id,direction,y,x_score,x_pred,x_nframes,x_prey_count,s_score,s_pred,s_nframes,s_prey_count
20260505_201426_gen5,train,,exiting,0,0.0692,0,1,0,0.0471,0,3,0
20260505_212859_gen2,train,,unclear,0,0.0834,0,7,0,0.0418,0,4,0
20260505_212930_gen3,train,,unclear,0,0.0284,0,7,0,0.0321,0,3,0
20260505_215223_gen7,train,,exiting,0,0.0067,0,1,0,0.0138,0,1,0
20260505_220846_gen8,train,mazge,entering,1,0.781,1,10,10,0.7792,1,10,10
20260505_220948_gen9,val,mazge,entering,1,0.1028,0,10,0,0.1343,0,10,1
20260505_221145_gen10,train,,unclear,0,0.0679,0,1,0,0.061,0,1,0
20260505_221411_gen11,train,mazge,entering,1,0.7767,1,9,9,0.7517,1,6,6
20260505_221931_gen13,train,mazge,entering,1,0.769,1,10,8,0.7178,1,8,7
20260505_222759_gen15,train,mazge,entering,0,0.1396,0,9,0,0.2506,0,9,1
20260505_225217_gen18,train,,unclear,0,0.0876,0,4,0,0.1002,0,2,0
20260505_225519_gen21,train,,unclear,0,0.0507,0,3,0,0.0606,0,8,0
20260505_230846_gen22,train,mazge,entering,1,0.7826,1,8,8,0.7713,1,6,6
20260505_231157_gen23,val,mazge,entering,1,0.7155,1,10,7,0.7665,1,8,8
20260505_231548_gen24,train,mazge,entering,0,0.5032,1,10,2,0.4551,1,9,2
20260505_232424_gen25,val,benis,entering,0,0.0197,0,5,0,0.0027,0,3,0
20260505_232532_gen27,train,benis,entering,0,0.1663,0,9,1,0.0241,0,3,0
20260505_234028_gen30,train,benis,entering,0,0.0136,0,10,0,0.0195,0,5,0
20260505_234049_gen31,val,benis,entering,0,0.022,0,10,0,0.0358,0,10,0
20260505_235026_gen33,train,benis,entering,0,0.0218,0,8,0,0.0178,0,8,0
20260506_001046_gen38,train,benis,entering,0,0.0662,0,8,0,0.0292,0,3,0
20260506_001106_gen39,train,benis,entering,0,0.004,0,10,0,0.0062,0,10,0
20260506_010955_gen1,train,mazge,entering,0,0.3766,1,9,4,0.1539,0,6,0
20260506_013555_gen1,val,benis,entering,0,0.1115,0,7,0,0.0253,0,2,0
20260506_015539_gen3,train,mazge,entering,0,0.0708,0,6,0,0.0287,0,6,0
20260506_045139_gen1,train,mazge,entering,0,0.2094,0,6,1,0.1185,0,6,0
20260506_045151_gen2,train,mazge,entering,0,0.1182,0,10,0,0.0693,0,8,0
20260506_045904_gen3,train,mazge,entering,0,0.058,0,5,0,0.0486,0,3,0
20260506_050005_gen6,train,mazge,entering,0,0.0295,0,9,0,0.0633,0,7,0
20260506_050625_gen7,train,mazge,entering,0,0.038,0,5,0,0.0073,0,3,0
20260506_061412_gen9,train,mazge,entering,0,0.0165,0,5,0,0.025,0,5,0
20260506_061559_gen11,train,mazge,entering,0,0.1581,0,9,1,0.109,0,4,1
20260506_061704_gen13,train,mazge,entering,0,0.096,0,6,0,0.0712,0,5,0
20260506_181858_gen1,train,,exiting,0,0.0284,0,3,0,0.076,0,1,0
20260506_183727_gen2,train,mazge,entering,0,0.0901,0,10,0,0.0767,0,10,0
20260506_192055_gen3,train,mazge,entering,0,0.032,0,5,0,0.0199,0,3,0
20260506_194735_gen4,train,,exiting,0,0.0418,0,2,0,0.0454,0,4,0
20260506_213844_gen1,test,mazge,entering,0,0.2705,0,10,1,0.0931,0,6,0
20260506_214834_gen2,train,,exiting,0,0.0107,0,6,0,0.0211,0,6,0
20260507_001250_gen1,train,mazge,entering,0,0.1107,0,7,0,0.0586,0,5,0
20260507_022449_gen2,train,,exiting,0,0.0393,0,8,0,0.0282,0,4,0
20260507_032001_gen3,val,mazge,entering,1,0.7533,1,8,7,0.7462,1,4,4
20260507_034511_gen4,train,,exiting,0,0.0249,0,6,0,0.0166,0,4,0
20260507_053106_gen1,val,benis,entering,0,0.0189,0,4,0,0.0185,0,1,0
20260507_072102_gen1,train,,exiting,0,0.0343,0,2,0,0.0767,0,3,0
20260507_072632_gen2,train,mazge,entering,0,0.0376,0,3,0,0.0341,0,1,0
20260507_080536_gen3,train,mazge,entering,0,0.034,0,6,0,0.0172,0,6,0
20260507_142046_gen1,train,benis,entering,0,0.0317,0,7,0,0.0263,0,7,0
20260507_160252_gen2,val,mazge,entering,0,0.1181,0,10,0,0.0948,0,10,0
20260507_160310_gen3,train,mazge,entering,0,0.0741,0,10,0,0.0769,0,10,0
20260507_171344_gen1,val,benis,entering,0,0.0787,0,10,0,0.0874,0,10,0
20260507_182110_gen2,train,mazge,entering,0,0.051,0,7,0,0.056,0,3,0
20260507_182207_gen3,train,,exiting,0,0.0716,0,2,0,0.0669,0,7,0
20260507_184625_gen4,train,mazge,entering,0,0.0718,0,10,0,0.0654,0,9,0
20260507_190152_gen5,val,,exiting,0,0.0907,0,7,0,0.0828,0,9,0
20260507_193746_gen6,train,,exiting,0,0.0867,0,6,0,0.0745,0,6,0
20260507_201315_gen7,train,mazge,entering,0,0.0557,0,6,0,0.0471,0,4,0
20260507_202455_gen8,train,,exiting,0,0.0988,0,7,0,0.0819,0,6,0
20260507_212120_gen9,val,mazge,entering,1,0.6929,1,6,6,0.6368,1,1,1
20260507_212215_gen10,test,,exiting,0,0.0079,0,1,0,0.012,0,1,0
20260507_213150_gen11,train,mazge,entering,0,0.0857,0,7,0,0.0376,0,5,0
20260507_232821_gen12,train,benis,entering,0,0.0412,0,7,0,0.0034,0,4,0
20260508_035852_gen1,train,mazge,entering,1,0.7533,1,7,7,0.7758,1,7,7
20260508_040939_gen2,train,,exiting,0,0.0294,0,6,0,0.0431,0,3,0
20260508_074741_gen3,train,mazge,entering,0,0.0612,0,7,0,0.0791,0,7,0
20260508_201948_gen1,train,,unclear,0,0.0416,0,3,0,0.047,0,9,0
20260508_202100_gen2,train,,unclear,0,0.1171,0,3,0,0.122,0,4,0
20260508_203043_gen6,train,,unclear,0,0.012,0,7,0,0.0172,0,5,0
20260508_203058_gen7,train,,unclear,0,0.0235,0,7,0,0.0227,0,5,0
20260508_204850_gen3,train,,unclear,0,0.1074,0,10,0,0.1024,0,9,0
20260508_204953_gen5,train,,unclear,0,0.064,0,4,0,0.1287,0,7,0
20260508_205309_gen10,test,,exiting,0,0.0165,0,1,0,0.0079,0,1,0
20260508_205337_gen11,train,benis,entering,0,0.0533,0,6,0,0.038,0,3,0
20260508_205351_gen12,val,benis,entering,0,0.0316,0,10,0,0.021,0,10,0
20260508_205406_gen13,train,benis,entering,0,0.0154,0,7,0,0.0127,0,10,0
20260508_205455_gen15,val,mazge,entering,0,0.0225,0,1,0,0.0255,0,1,0
20260508_222748_gen2,train,benis,entering,0,0.023,0,10,0,0.0248,0,9,0
20260508_231843_gen5,val,mazge,entering,0,0.0941,0,8,0,0.0332,0,7,0
20260508_231912_gen6,test,mazge,entering,0,0.0174,0,7,0,0.0532,0,6,0
20260508_234256_gen1,train,,unclear,0,0.008,0,1,0,0.0522,0,1,0
20260509_021325_gen9,train,,exiting,0,0.0789,0,10,0,0.0647,0,9,0
20260509_051223_gen1,train,mazge,entering,0,0.0897,0,6,0,0.1618,0,5,0
20260509_051416_gen2,train,mazge,entering,0,0.0707,0,4,0,0.0509,0,2,0
20260509_070630_gen1,train,,exiting,0,0.0913,0,3,0,0.0958,0,4,0
20260509_071449_gen2,train,mazge,entering,0,0.0445,0,7,0,0.0135,0,3,0
20260509_080321_gen3,train,,exiting,0,0.014,0,1,0,0.0332,0,1,0
20260509_080650_gen4,train,mazge,entering,0,0.0731,0,5,0,0.0758,0,5,0
20260509_081048_gen5,test,,exiting,0,0.1606,0,5,0,0.0181,0,3,0
20260509_081259_gen6,train,,exiting,0,0.0426,0,4,0,0.0637,0,2,0
20260509_084539_gen7,train,mazge,entering,0,0.0437,0,10,0,0.0905,0,8,0
20260509_085647_gen8,train,,exiting,0,0.043,0,4,0,0.0453,0,2,0
20260509_185211_gen1,train,benis,entering,0,0.0251,0,10,0,0.0228,0,9,0
20260509_194609_gen2,val,,exiting,0,0.0359,0,3,0,0.1092,0,6,0
20260509_210615_gen1,train,benis,entering,0,0.1368,0,6,0,0.1038,0,2,0
20260509_232132_gen1,train,mazge,entering,0,0.3805,1,10,4,0.3489,1,8,3
20260509_232205_gen2,train,mazge,entering,0,0.4412,1,9,3,0.2709,0,7,1
20260510_032039_gen1,train,,exiting,0,0.0428,0,10,0,0.037,0,7,0
20260510_080623_gen2,train,,exiting,0,0.0352,0,1,0,0.018,0,2,0
20260510_082801_gen3,train,unknown,entering,0,0.0234,0,4,0,0.0161,0,4,0
20260510_083738_gen4,train,,exiting,0,0.0307,0,1,0,0.1102,0,1,0
20260510_085242_gen5,train,mazge,entering,0,0.0691,0,9,0,0.0557,0,8,0
20260510_085400_gen7,train,mazge,entering,0,0.0714,0,9,0,0.1048,0,8,0
20260510_085716_gen8,train,,exiting,0,0.0546,0,3,0,0.0602,0,2,0
20260510_085847_gen9,train,mazge,entering,0,0.0922,0,6,0,0.0797,0,6,0
20260510_095157_gen1,train,mazge,entering,0,0.0468,0,6,0,0.0234,0,4,0
20260510_095227_gen2,train,mazge,entering,0,0.0426,0,8,0,0.0462,0,7,0
20260510_095313_gen4,train,,exiting,0,0.0262,0,3,0,0.0327,0,2,0
20260510_095330_gen5,train,mazge,entering,0,0.0263,0,5,0,0.0464,0,7,0
20260510_095439_gen6,train,mazge,entering,0,0.1051,0,10,0,0.0974,0,9,0
20260510_100729_gen7,val,mazge,entering,0,0.0438,0,6,0,0.0549,0,5,0
20260510_101324_gen8,train,,exiting,0,0.0614,0,5,0,0.1294,0,2,0
20260510_101604_gen9,train,mazge,entering,0,0.0487,0,8,0,0.069,0,7,0
20260510_101700_gen10,train,,exiting,0,0.0482,0,1,0,0.085,0,2,0
20260510_102205_gen11,train,mazge,entering,0,0.0645,0,4,0,0.042,0,4,0
20260510_102249_gen12,train,mazge,entering,0,0.0211,0,5,0,0.0212,0,5,0
20260510_121527_gen13,train,,exiting,0,0.0432,0,3,0,0.0385,0,1,0
20260510_121948_gen14,train,mazge,entering,0,0.0489,0,9,0,0.0774,0,9,0
20260510_133208_gen15,train,benis,entering,0,0.0435,0,7,0,0.048,0,9,0
20260510_134637_gen16,train,,exiting,0,0.1359,0,5,0,0.1617,0,3,0
20260510_175156_gen1,train,benis,entering,0,0.0419,0,9,0,0.0358,0,8,0
20260510_180523_gen2,train,,exiting,0,0.0477,0,3,0,0.0491,0,1,0
20260510_185156_gen3,train,,exiting,0,0.0203,0,1,0,0.1081,0,3,0
20260510_185900_gen4,test,mazge,entering,0,0.023,0,2,0,0.0264,0,3,0
20260510_185941_gen5,train,,exiting,0,0.0773,0,1,0,0.0788,0,4,0
20260510_190017_gen6,train,mazge,entering,0,0.0215,0,2,0,0.0395,0,2,0
20260510_191858_gen8,train,mazge,entering,0,0.0622,0,10,0,0.0829,0,10,0
20260510_194106_gen9,train,benis,entering,0,0.0302,0,10,0,0.0348,0,9,0
20260510_194452_gen11,train,,exiting,0,0.0377,0,1,0,0.0478,0,2,0
20260510_213205_gen1,train,,exiting,0,0.044,0,7,0,0.0451,0,2,0
20260511_002616_gen1,train,,exiting,0,0.0573,0,7,0,0.0555,0,1,0
20260511_013523_gen1,train,mazge,entering,0,0.093,0,9,0,0.0834,0,9,0
20260511_045246_gen1,train,benis,entering,0,0.0181,0,6,0,0.0086,0,2,0
20260511_045344_gen5,train,benis,entering,0,0.0081,0,9,0,0.0157,0,9,0
20260511_050035_gen6,val,benis,entering,0,0.0448,0,6,0,0.0072,0,2,0
20260511_050106_gen7,train,benis,entering,0,0.0576,0,10,0,0.0758,0,10,0
20260511_061841_gen1,train,,exiting,0,0.0557,0,5,0,0.067,0,8,0
20260511_062512_gen2,train,mazge,entering,0,0.0415,0,6,0,0.0372,0,6,0
20260511_070958_gen4,train,mazge,entering,0,0.0947,0,4,0,0.0858,0,6,0
20260511_161713_gen1,test,,exiting,0,0.0252,0,3,0,0.0927,0,8,0
20260511_161956_gen2,train,mazge,entering,0,0.0909,0,4,0,0.0977,0,4,0
20260511_163027_gen3,test,,exiting,0,0.0526,0,2,0,0.0459,0,4,0
20260511_163227_gen4,train,mazge,entering,0,0.0383,0,6,0,0.0354,0,5,0
20260511_163801_gen6,train,benis,entering,0,0.0679,0,10,0,0.0614,0,10,0
20260511_182952_gen7,train,,exiting,0,0.0778,0,2,0,0.0582,0,3,0
20260511_191050_gen10,train,,unclear,0,0.04,0,7,0,0.0611,0,2,0
20260511_192950_gen11,train,mazge,entering,0,0.0715,0,4,0,0.0455,0,4,0
20260511_195434_gen1,train,,exiting,0,0.0463,0,4,0,0.0473,0,6,0
20260511_201518_gen1,test,mazge,entering,0,0.0979,0,7,0,0.0288,0,4,0
20260511_204205_gen1,train,,exiting,0,0.0099,0,3,0,0.0104,0,3,0
20260511_214438_gen2,train,benis,entering,0,0.3579,1,4,2,0.0934,0,3,0
20260511_214452_gen3,train,,exiting,0,0.0936,0,9,0,0.0993,0,8,0
20260511_225534_gen1,train,mazge,entering,0,0.3481,1,10,4,0.2324,0,8,2
20260511_232617_gen2,train,,exiting,0,0.0455,0,10,0,0.05,0,7,0
20260511_233943_gen1,test,,exiting,0,0.0956,0,8,0,0.0214,0,2,0
20260512_013740_gen1,train,benis,entering,0,0.2211,0,9,1,0.0251,0,4,0
20260512_013809_gen3,test,benis,entering,0,0.061,0,10,0,0.0684,0,10,0
20260512_013824_gen4,train,benis,entering,0,0.234,0,10,1,0.2122,0,10,1
20260512_014807_gen6,val,benis,entering,0,0.1044,0,5,1,0.0275,0,3,0
20260512_014820_gen7,train,benis,entering,0,0.0075,0,10,0,0.0178,0,10,0
20260512_014844_gen8,train,benis,entering,0,0.0042,0,10,0,0.0045,0,10,0
20260512_014927_gen9,test,benis,entering,0,0.0045,0,9,0,0.0032,0,10,0
20260512_014943_gen10,train,benis,entering,0,0.0015,0,10,0,0.0023,0,10,0
20260512_015058_gen2,test,benis,entering,0,0.0115,0,10,0,0.0083,0,10,0
20260512_035156_gen1,test,,exiting,0,0.0776,0,8,0,0.0614,0,9,0
20260512_043338_gen2,val,mazge,entering,0,0.0921,0,8,0,0.0569,0,6,0
20260512_070525_gen3,train,,exiting,0,0.1257,0,4,0,0.0348,0,1,0
20260512_072425_gen4,train,mazge,entering,0,0.033,0,4,0,0.0267,0,4,0
20260512_073321_gen5,train,,exiting,0,0.0546,0,2,0,0.0239,0,2,0
20260512_073347_gen6,val,,exiting,0,0.1442,0,4,0,0.1225,0,2,0
20260512_073831_gen7,train,benis,entering,0,0.0847,0,8,0,0.0335,0,5,0
20260512_073844_gen8,train,benis,entering,0,0.0576,0,9,0,0.0522,0,10,0
20260512_073910_gen9,train,benis,entering,0,0.0737,0,5,0,0.0305,0,4,0
20260512_074810_gen11,train,mazge,entering,0,0.0275,0,3,0,0.034,0,1,0
20260512_074852_gen12,train,mazge,entering,0,0.0332,0,7,0,0.0158,0,4,0
20260512_075310_gen13,train,benis,entering,0,0.0491,0,10,0,0.0523,0,10,0
20260512_075650_gen14,train,benis,entering,0,0.025,0,7,0,0.0277,0,6,0
20260512_131817_gen1,val,,exiting,0,0.0214,0,2,0,0.044,0,2,0
20260512_132122_gen2,train,,exiting,0,0.0287,0,4,0,0.0844,0,2,0
20260512_135300_gen3,train,,exiting,0,0.0543,0,2,0,0.0558,0,3,0
20260512_191323_gen4,train,benis,entering,0,0.0306,0,10,0,0.0366,0,8,0
20260512_193656_gen1,train,,exiting,0,0.0452,0,3,0,0.0413,0,3,0
20260512_194755_gen2,train,benis,entering,0,0.0238,0,8,0,0.0277,0,8,0
20260512_225807_gen1,train,,exiting,0,0.1429,0,5,0,0.1026,0,1,0
20260512_230915_gen2,train,mazge,entering,0,0.4555,1,10,3,0.4305,1,10,4
20260512_231622_gen4,train,,exiting,0,0.0439,0,9,0,0.0395,0,8,0
20260513_001556_gen5,train,benis,entering,0,0.0074,0,5,0,0.0024,0,4,0
20260513_002344_gen6,train,mazge,entering,0,0.4906,1,8,3,0.287,0,8,1
20260513_070807_gen1,train,,exiting,0,0.0305,0,3,0,0.0326,0,3,0
20260513_071442_gen2,train,mazge,entering,0,0.0475,0,4,0,0.0492,0,5,0
20260513_072207_gen3,test,,exiting,0,0.0845,0,2,0,0.0437,0,2,0
20260513_073016_gen4,train,mazge,entering,0,0.09,0,10,0,0.0757,0,10,0
20260513_074823_gen5,test,,exiting,0,0.0593,0,2,0,0.039,0,2,0
20260513_074949_gen6,train,benis,entering,0,0.0399,0,7,0,0.0432,0,6,0
20260513_080842_gen7,val,,exiting,0,0.0273,0,2,0,0.0126,0,2,0
20260513_081215_gen8,train,,exiting,0,0.02,0,1,0,0.025,0,1,0
20260513_083647_gen1,val,mazge,entering,0,0.0475,0,6,0,0.0404,0,6,0
20260513_083702_gen2,train,mazge,entering,0,0.0483,0,10,0,0.0456,0,9,0
20260513_084519_gen3,test,mazge,entering,0,0.0488,0,7,0,0.0492,0,7,0
20260513_101347_gen1,train,mazge,entering,0,0.0471,0,8,0,0.107,0,8,0
20260513_101429_gen2,train,mazge,entering,0,0.0443,0,8,0,0.0438,0,7,0
20260513_120616_gen3,train,benis,entering,0,0.0298,0,9,0,0.0323,0,10,0
20260513_170032_gen4,train,,exiting,0,0.0258,0,2,0,0.0174,0,3,0
20260513_171825_gen5,train,mazge,entering,0,0.0547,0,10,0,0.0429,0,9,0
20260513_172136_gen6,val,mazge,entering,0,0.0666,0,9,0,0.0234,0,3,0
20260513_182819_gen7,train,benis,entering,0,0.0311,0,10,0,0.0244,0,8,0
20260513_211441_gen3,train,,exiting,0,0.0484,0,3,0,0.0701,0,1,0
20260513_224657_gen9,val,,exiting,0,0.0745,0,4,0,0.063,0,1,0
20260514_000754_gen5,train,benis,entering,1,0.6929,1,8,7,0.7043,1,9,8
20260514_000925_gen6,val,,exiting,0,0.1237,0,3,0,0.2225,0,4,1
20260514_002258_gen7,train,,exiting,0,0.0925,0,10,0,0.051,0,10,0
20260514_003119_gen8,train,benis,entering,0,0.0019,0,3,0,0.0014,0,2,0
20260514_023154_gen1,train,mazge,entering,0,0.4622,1,7,5,0.2877,0,6,1
20260514_023208_gen2,train,mazge,entering,0,0.0466,0,6,0,0.0388,0,5,0
20260514_070544_gen1,test,,exiting,0,0.0181,0,4,0,0.038,0,5,0
20260514_072549_gen2,val,mazge,entering,0,0.0385,0,6,0,0.061,0,7,0
20260514_085716_gen3,train,,exiting,0,0.0242,0,1,0,0.041,0,1,0
20260514_090702_gen4,train,,exiting,0,0.0545,0,2,0,0.0352,0,3,0
20260514_100403_gen1,train,mazge,entering,0,0.0519,0,8,0,0.0525,0,8,0
20260514_101356_gen2,train,,exiting,0,0.0266,0,4,0,0.0384,0,2,0
20260514_120717_gen3,train,,unclear,0,0.0394,0,6,0,0.0822,0,9,0
20260514_120731_gen4,train,,unclear,0,0.0458,0,2,0,0.0542,0,5,0
20260514_120746_gen5,train,,unclear,0,0.0473,0,3,0,0.1271,0,6,0
20260514_183106_gen1,test,mazge,entering,0,0.0455,0,4,0,0.0538,0,2,0
20260514_190204_gen3,train,mazge,entering,0,0.051,0,8,0,0.0341,0,5,0
20260514_191116_gen5,train,benis,entering,0,0.0116,0,7,0,0.0134,0,7,0
20260514_193804_gen6,train,mazge,entering,0,0.1032,0,10,0,0.103,0,10,0
20260514_205859_gen7,train,benis,entering,0,0.1243,0,9,0,0.02,0,2,0
20260514_210412_gen8,train,,exiting,0,0.0067,0,1,0,0.0221,0,2,0
20260514_232901_gen1,train,mazge,entering,0,0.6251,1,8,4,0.5495,1,7,4
20260514_233130_gen2,val,mazge,entering,0,0.2535,0,7,1,0.3405,1,5,3
20260514_233248_gen3,train,mazge,entering,0,0.7121,1,9,6,0.6507,1,7,4
20260514_233356_gen5,test,mazge,entering,0,0.0495,0,7,0,0.041,0,8,0
20260514_235213_gen7,train,,exiting,0,0.1053,0,6,0,0.0437,0,2,0
20260515_000749_gen8,train,mazge,entering,0,0.5013,1,9,4,0.3696,1,4,2
20260515_004257_gen11,val,,exiting,0,0.3455,1,8,2,0.0997,0,5,0
20260515_013311_gen12,train,mazge,entering,0,0.3056,1,5,1,0.0331,0,3,0
20260515_031942_gen14,train,mazge,entering,1,0.7494,1,6,6,0.7398,1,4,4
20260515_032008_gen16,test,mazge,entering,1,0.3151,1,10,3,0.3515,1,10,2
20260515_032343_gen17,test,mazge,entering,1,0.7073,1,8,8,0.7053,1,6,6
20260515_032406_gen18,test,mazge,entering,1,0.7832,1,10,10,0.7863,1,10,10
20260515_032600_gen19,train,mazge,entering,0,0.0822,0,10,0,0.1035,0,10,0
20260515_032644_gen21,train,mazge,entering,0,0.3733,1,10,2,0.3938,1,9,2
20260515_041242_gen1,val,mazge,entering,0,0.2222,0,10,1,0.1067,0,9,0
20260515_041254_gen2,train,,exiting,0,0.0665,0,8,0,0.0741,0,6,0
20260516_023522_gen1,test,benis,entering,0,0.2913,0,7,1,0.0506,0,3,0
